id,raw_id,name,lon,lat,x,y,batch,built_year,quality
building:3a8d90ba797608ce,3a8d90ba797608ce,浦东发展银行,121.490176,31.236076,13524224.526822599,3663446.2067524553,0.0,0.0,1.0
building:4b4ebc483b36d5d9,4b4ebc483b36d5d9,和平饭店北楼,121.48976,31.239138,13524178.217914436,3663844.862528975,0.0,0.0,1.0
building:7f5cca0472f26d74,7f5cca0472f26d74,中国银行上海分行,121.489041,31.239569,13524098.179200567,3663900.9774265597,0.0,0.0,1.0
building:3ca270de78871459,3ca270de78871459,上海海关,121.489934,31.236688,13524197.58750583,3663525.8847967037,0.0,0.0,1.0
building:6985058e28f143b2,6985058e28f143b2,上海大厦,121.48995,31.244361,13524199.368617684,3664524.8985961396,0.0,0.0,1.0
building:d3f0e44ebd08d624,d3f0e44ebd08d624,上海外滩华尔道夫酒店,121.49093,31.233786,13524308.461718647,3663148.069629953,0.0,0.0,1.0
building:2bd1b77beb97e262,2bd1b77beb97e262,和平饭店南楼、斯沃琪和平饭店艺术中心,121.489733,31.238787,13524175.212288184,3663799.1635788023,0.0,0.0,1.0
building:2e8485895d242a9f,2e8485895d242a9f,俄罗斯领事馆,121.490862,31.243813,13524300.891993273,3664453.547076362,0.0,0.0,1.0
building:770d8b9af7a0511f,770d8b9af7a0511f,国际饭店,121.450456,31.228509,13519802.916648908,3662461.0798493912,0.0,0.0,1.0
building:cc7c20a2ed02eeb7,cc7c20a2ed02eeb7,ROOF 325,121.47098,31.230574,13522087.637877628,3662729.9086887743,0.0,0.0,1.0
building:a1b1251a124ac2cf,a1b1251a124ac2cf,大光明电影院,121.471272,31.232991,13522120.143168937,3663044.569567618,0.0,0.0,1.0
building:658e7f1a6711837b,658e7f1a6711837b,金门大酒店,121.472522,31.234147,13522259.292532407,3663195.0680589844,0.0,0.0,1.0
building:53795fa0571bcac5,53795fa0571bcac5,时装公司、东亚饭店,121.477072,31.234663,13522765.796215447,3663262.24618069,0.0,0.0,1.0
building:fc41f41d1a20fb84,fc41f41d1a20fb84,永安百货,121.477072,31.234663,13522765.796215447,3663262.24618069,0.0,0.0,1.0
building:a673592a7d4199b6,a673592a7d4199b6,七重天宾馆,121.477072,31.234663,13522765.796215447,3663262.24618069,0.0,0.0,1.0
building:768450ef8adf4cc1,768450ef8adf4cc1,第一食品商店,121.477072,31.234663,13522765.796215447,3663262.24618069,0.0,0.0,1.0
building:2d9cb15cebc7d194,2d9cb15cebc7d194,第一百货商店,121.477072,31.234663,13522765.796215447,3663262.24618069,0.0,0.0,1.0
building:1bf8c6ddccf58669,1bf8c6ddccf58669,锦江饭店锦北楼,121.467542,31.221787,13521704.921468334,3661586.027330339,0.0,0.0,1.0
building:9e2bf86ad7024e4d,9e2bf86ad7024e4d,锦江饭店贵宾楼、峻岭楼,121.461219,31.217903,13521001.048328148,3661080.446653445,0.0,0.0,1.0
building:22884f2fce4f94aa,22884f2fce4f94aa,市政工程局,121.487236,31.236187,13523897.247519713,3663460.6581241223,0.0,0.0,1.0
