id,raw_id,name,x,y,area
conservation_area:0,0,外滩,13523559.644383466,3664101.9628842734,1386352.0566612647
conservation_area:1,1,人民广场,13521749.824746909,3663116.3646962936,1468458.2401626343
conservation_area:2,2,老城厢,13523843.712599546,3661880.8084209897,2730548.115005553
conservation_area:3,3,衡山路-复兴路,13519765.654553536,3660197.4692939064,10630848.796077665
conservation_area:4,4,虹桥路,13512286.270369103,3659280.375946283,6596273.655717398
conservation_area:5,5,山阴路,13523039.398838963,3667572.4600256137,1771655.1498618259
conservation_area:6,6,江湾,13526808.12858296,3672691.382601486,6295443.2392434785
conservation_area:7,7,龙华,13519571.773031587,3655422.5275356937,616806.3058306496
conservation_area:8,8,提篮桥,13526155.60017876,3665675.1331191435,1578911.3616802767
conservation_area:9,9,南京西路,13519732.107093278,3662579.620145277,3060112.1394360047
conservation_area:10,10,愚园路,13516753.21411665,3661628.5375278844,466484.18710762664
conservation_area:11,11,新华路,13516349.973014276,3659396.9226484993,397736.59384820587
