uid,batch,source_table,source_seq,code,display_name,original_name,current_name,district_original,district_current,raw_address,geocode_query_address,longitude,latitude,geocode_level,geocode_formatted_address,geocode_adcode,geocode_city,geocode_district,protection_category,built_year,source_url,coordinate_quality
3a8d90ba797608ce,第一批,1,1,,浦东发展银行,汇丰银行大楼,浦东发展银行,黄浦区,黄浦区,中山东一路12号,中山东一路12号,121.490176,31.236076,门址,上海市黄浦区中山东一路12号,310101,上海市,黄浦区,II2,1923年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
4b4ebc483b36d5d9,第一批,1,2,,和平饭店北楼,沙逊大厦、华懋饭店,和平饭店北楼,黄浦区,黄浦区,中山东一路20号,中山东一路20号,121.489760,31.239138,门址,上海市黄浦区中山东一路20号,310101,上海市,黄浦区,II2,1929年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
7f5cca0472f26d74,第一批,1,3,,中国银行上海分行,中国银行,中国银行上海分行,黄浦区,黄浦区,中山东一路23号,中山东一路23号,121.489041,31.239569,门址,上海市黄浦区中山东一路23号,310101,上海市,黄浦区,II2,1937年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
3ca270de78871459,第一批,1,4,,上海海关,江海关,上海海关,黄浦区,黄浦区,中山东一路13号,中山东一路13号,121.489934,31.236688,门址,上海市黄浦区中山东一路13号,310101,上海市,黄浦区,II2,1927年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
6985058e28f143b2,第一批,1,5,,上海大厦,百老汇大厦,上海大厦,虹口区,虹口区,北苏州路2号,北苏州路2号,121.489950,31.244361,门牌号,上海市虹口区北苏州路20号,310109,上海市,虹口区,II2,1934年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
d3f0e44ebd08d624,第一批,1,6,,上海外滩华尔道夫酒店,上海总会,上海外滩华尔道夫酒店,黄浦区,黄浦区,中山东一路2号,中山东一路2号,121.490930,31.233786,门址,上海市黄浦区中山东一路2号,310101,上海市,黄浦区,II2,1911年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
2bd1b77beb97e262,第一批,1,7,,和平饭店南楼、斯沃琪和平饭店艺术中心,汇中饭店,和平饭店南楼、斯沃琪和平饭店艺术中心,黄浦区,黄浦区,中山东一路19号,中山东一路19号,121.489733,31.238787,门牌号,上海市黄浦区中山东一路19号,310101,上海市,黄浦区,II2,1906年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
2e8485895d242a9f,第一批,1,8,,俄罗斯领事馆,苏联领事馆,俄罗斯领事馆,虹口区,虹口区,黄浦路20号,黄浦路20号,121.490862,31.243813,门址,上海市虹口区黄浦路20号,310109,上海市,虹口区,II2,1917年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
770d8b9af7a0511f,第一批,1,9,,国际饭店,国际饭店,国际饭店,黄浦区,黄浦区,南京西路170号,南京西路170号,121.450456,31.228509,门址,上海市黄浦区南京西路170号,310106,上海市,静安区,II2,1934年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
cc7c20a2ed02eeb7,第一批,1,10,,ROOF 325,跑马总会,ROOF 325,黄浦区,黄浦区,南京西路325号,南京西路325号,121.470980,31.230574,门址,上海市黄浦区南京西路325号,310101,上海市,黄浦区,II2,1933年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
a1b1251a124ac2cf,第一批,1,11,,大光明电影院,大光明大戏院,大光明电影院,黄浦区,黄浦区,南京西路216号,南京西路216号,121.471272,31.232991,门址,上海市黄浦区南京西路216号,310101,上海市,黄浦区,II2,1933年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
658e7f1a6711837b,第一批,1,12,,金门大酒店,华安人寿保险公司、金门饭店,金门大酒店,黄浦区,黄浦区,南京西路104号,南京西路104号,121.472522,31.234147,门址,上海市黄浦区南京西路104号,310101,上海市,黄浦区,II2,1933年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
53795fa0571bcac5,第一批,1,13,,时装公司、东亚饭店,先施公司,时装公司、东亚饭店,黄浦区,黄浦区,南京东路690号,南京东路690号,121.477072,31.234663,兴趣点,上海市黄浦区南京东路,310101,上海市,黄浦区,II3,1917年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
fc41f41d1a20fb84,第一批,1,14,,永安百货,老永安公司,永安百货,黄浦区,黄浦区,南京东路635号,南京东路635号,121.477072,31.234663,兴趣点,上海市黄浦区南京东路,310101,上海市,黄浦区,II3,1918年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
a673592a7d4199b6,第一批,1,14,,七重天宾馆,新永安公司,七重天宾馆,黄浦区,黄浦区,南京东路627号,南京东路627号,121.477072,31.234663,兴趣点,上海市黄浦区南京东路,310101,上海市,黄浦区,II3,1933年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
768450ef8adf4cc1,第一批,1,15,,第一食品商店,新新公司,第一食品商店,黄浦区,黄浦区,南京东路720号,南京东路720号,121.477072,31.234663,兴趣点,上海市黄浦区南京东路,310101,上海市,黄浦区,II3,1925年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
2d9cb15cebc7d194,第一批,1,16,,第一百货商店,大新公司,第一百货商店,黄浦区,黄浦区,南京东路830号,南京东路830号,121.477072,31.234663,兴趣点,上海市黄浦区南京东路,310101,上海市,黄浦区,II3,1934年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
1bf8c6ddccf58669,第一批,1,17,,锦江饭店锦北楼,华懋公寓,锦江饭店锦北楼,黄浦区,黄浦区,长乐路109号,长乐路109号,121.467542,31.221787,门址,上海市黄浦区长乐路109号,310101,上海市,黄浦区,II2,1929年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
9e2bf86ad7024e4d,第一批,1,18,,锦江饭店贵宾楼、峻岭楼,峻林公寓、茂名公寓,锦江饭店贵宾楼、峻岭楼,黄浦区,黄浦区,茂名南路65－125号,茂名南路65-125号,121.461219,31.217903,门牌号,上海市黄浦区茂名南路65号,310101,上海市,黄浦区,II2,1935年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
22884f2fce4f94aa,第一批,1,19,,市政工程局,公共租界工部局,市政工程局,黄浦区,黄浦区,汉口路153号,汉口路153号,121.487236,31.236187,门牌号,上海市黄浦区汉口路153号,310101,上海市,黄浦区,II2,1919年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
3469fabf01a47a64,第一批,1,20,,体育学院办公楼,上海市政府大楼,体育学院办公楼,杨浦区,杨浦区,清源环路650号,清源环路650号,121.525608,31.313175,门址,上海市杨浦区清源环路650号,310110,上海市,杨浦区,II1,1935年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
c6ff90d469d73424,第一批,1,21,,上海市江湾体育场,上海市体育场,上海市江湾体育场,杨浦区,杨浦区,国和路346号,国和路346号,121.516550,31.306392,门址,上海市杨浦区国和路346号,310110,上海市,杨浦区,II2,1935年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
10558f5bbf595b33,第一批,1,22,,大世界,大世界游乐场,大世界,黄浦区,黄浦区,西藏南路1号,西藏南路1号,121.479181,31.228382,门址,上海市黄浦区西藏南路1号,310101,上海市,黄浦区,II2,1924年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
a28b51855ab0b40f,第一批,1,23,,邮电管理局,上海邮政总局,邮电管理局,虹口区,虹口区,北苏州路276号,北苏州路276号,121.485044,31.244302,门牌号,上海市虹口区北苏州路276号,310109,上海市,虹口区,II2,1924年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
ca066c59c3960c23,第一批,1,24,,华东医院干部病房楼,宏恩医院,华东医院干部病房楼,静安区,静安区,延安西路221号,延安西路221号,121.441822,31.218747,门址,上海市静安区延安西路221号,310106,上海市,静安区,II2,1926年,https://zh.wikipedia.org/wiki/上海市优秀历史建筑,high
