id,name,type,typecode,pname,cityname,adname,address,location,longitude,latitude,citycode,adcode,business_area,tel,query_polygon
BV10039797,上海汽车城(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.180742,31.285403",121.180742,31.285403,021,310114,[],021-53554630,"121.100000,31.250000|121.250000,31.400000"
BV10033820,上海赛车场(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.226098,31.331898",121.226098,31.331898,021,310114,[],[],"121.100000,31.250000|121.250000,31.400000"
BV10030508,丰庄(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,13号线,"121.355141,31.242553",121.355141,31.242553,021,310114,[],021-63189188-530800,"121.250000,31.100000|121.400000,31.250000"
BV10039942,临洮路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,14号线,"121.330860,31.263059",121.330860,31.263059,021,310114,[],021-63189188-540310,"121.250000,31.250000|121.400000,31.400000"
BV10039941,乐秀路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线;14号线,"121.314103,31.265363",121.314103,31.265363,021,310114,[],021-63189188-540210,"121.250000,31.250000|121.400000,31.400000"
BV09358428,北和公路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(规划)嘉闵线北延伸,"121.189591,31.430232",121.189591,31.430232,021,310114,[],[],"121.100000,31.400000|121.250000,31.550000"
BV10039799,南翔(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线;11号线,"121.323141,31.296952",121.323141,31.296952,021,310114,[],021-53554630-510700,"121.250000,31.250000|121.400000,31.400000"
BV09373930,叶城路(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线,"121.281517,31.375614",121.281517,31.375614,021,310114,[],[],"121.250000,31.250000|121.400000,31.400000"
BV10039960,嘉定北(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.237350,31.391549",121.237350,31.391549,021,310114,[],[],"121.100000,31.250000|121.250000,31.400000"
BV10039612,嘉定新城(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.254294,31.330062",121.254294,31.330062,021,310114,[],021-53554630-510400,"121.250000,31.250000|121.400000,31.400000"
BV09373932,嘉定新城东(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,(在建)嘉闵线,"121.295195,31.348898",121.295195,31.348898,021,310114,[],[],"121.250000,31.250000|121.400000,31.400000"
BV10039961,嘉定西(地铁站),交通设施服务;地铁站;地铁站,150500,上海市,上海市,嘉定区,11号线,"121.227855,31.377107",121.227855,31.377107,021,310114,[],021-53554630-510200,"121.100000,31.250000|121.250000,31.400000"
